Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
4,13.38,13.38,3,13.33,13.33,2,13.21,13.21,1,13.11,13.11
3,10.19,23.57,4,10.34,23.67,2,10.19,23.40,1,10.20,23.31
3,9.42,32.99,4,9.46,33.13,1,9.46,32.86,2,9.60,32.91
3,9.47,42.46,2,9.22,42.35,1,9.32,42.18,4,9.86,42.77
3,9.34,51.80,2,9.35,51.70,1,9.42,51.60,4,9.25,52.02
3,9.28,1:01.08,2,9.26,1:00.96,1,9.24,1:00.84,4,9.25,1:01.27
3,9.07,1:10.15,2,9.10,1:10.06,1,9.18,1:10.02,4,9.18,1:10.45
2,9.48,1:19.63,3,9.67,1:19.73,1,9.37,1:19.39,4,9.38,1:19.83
0,,PEN,2,9.49,1:29.219,1,9.58,1:28.968,3,9.73,1:29.554
