Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME
1,14.02,14.02,2,14.13,14.13,5,14.38,14.38,4,14.27,14.27,3,14.22,14.22
2,10.50,24.52,3,10.50,24.63,4,10.35,24.73,5,10.56,24.83,1,10.16,24.38
2,9.76,34.28,3,9.76,34.39,4,9.79,34.52,5,9.78,34.61,1,9.82,34.20
2,9.87,44.15,3,9.84,44.23,4,9.81,44.33,5,9.83,44.44,1,9.87,44.07
1,9.79,53.94,3,9.82,54.05,4,9.87,54.20,5,9.88,54.32,2,9.87,53.94
1,9.62,1:03.56,2,9.65,1:03.70,3,9.61,1:03.81,5,9.79,1:04.11,4,10.02,1:03.96
1,9.55,1:13.11,2,9.55,1:13.25,3,9.52,1:13.33,5,10.01,1:14.12,4,9.76,1:13.72
1,9.57,1:22.68,2,9.55,1:22.80,3,9.52,1:22.85,5,9.84,1:23.96,4,10.03,1:23.75
1,9.70,1:32.381,2,9.70,1:32.495,3,9.67,1:32.518,4,9.92,1:33.875,0,,PEN
