Kirath SINGH POSITION,Kirath SINGH LAP TIME,Kirath SINGH ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
4,7.60,7.60,1,7.16,7.16,3,7.38,7.38,5,7.60,7.60,2,7.23,7.23
5,9.95,17.55,2,9.37,16.53,3,9.26,16.64,4,9.32,16.92,1,9.19,16.42
4,9.65,27.20,1,8.88,25.41,2,8.85,25.49,3,9.04,25.96,5,28.03,44.45
4,9.95,37.15,2,9.20,34.61,1,9.01,34.50,3,9.34,35.30,5,21.67,1:06.12
4,10.17,47.316,2,9.45,44.056,1,9.22,43.712,3,9.74,45.037,5,19.37,1:25.482
