Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Luke CULLEN POSITION,Luke CULLEN LAP TIME,Luke CULLEN ELAPSED TIME
1,7.02,7.02,2,7.21,7.21,3,7.27,7.27,3,7.27,7.27,5,7.86,7.86
1,9.07,16.09,4,9.36,16.57,2,8.95,16.22,3,9.12,16.39,5,9.73,17.59
2,8.54,24.63,4,8.66,25.23,1,8.38,24.60,3,8.47,24.86,5,9.39,26.98
2,8.65,33.28,4,8.73,33.96,1,8.50,33.10,3,8.53,33.39,5,9.86,36.84
2,8.71,41.99,4,8.89,42.85,1,8.58,41.68,3,8.75,42.14,5,10.24,47.08
