BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
1,13.783,13.783,3,13.903,13.903,2,13.841,13.841,4,14.073,14.073
2,10.325,24.109,4,10.370,24.273,1,9.880,23.721,3,10.193,24.266
1,9.716,33.825,3,9.887,34.160,2,10.226,33.947,4,10.111,34.377
1,9.898,43.723,3,9.955,44.115,2,10.041,43.988,4,9.923,44.300
1,9.800,53.522,3,9.697,53.812,2,9.755,53.743,4,9.853,54.152
1,9.519,1:03.041,2,9.375,1:03.187,3,9.544,1:03.287,4,9.436,1:03.588
1,9.536,1:12.577,3,9.688,1:12.874,2,9.455,1:12.742,4,9.605,1:13.194
2,19.820,1:32.397,3,20.922,1:33.796,1,9.878,1:22.620,4,20.952,1:34.146
0,,,0,,,1,12.141,1:34.761,0,,
