Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,6.86,6.86,2,6.91,6.91,3,6.94,6.94,4,6.94,6.94
3,22.46,29.32,4,34.68,41.59,1,9.37,16.31,2,10.19,17.13
3,11.41,40.73,4,17.55,59.14,1,8.65,24.96,2,9.54,26.67
3,9.09,49.82,4,12.53,1:11.67,1,8.68,33.64,2,10.24,36.91
2,9.31,59.122,3,13.45,1:25.118,1,8.92,42.551,0,,YC
