DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
2,14.94,14.94,1,14.80,14.80,3,15.13,,4,15.30,15.30
2,11.24,26.18,1,11.28,26.08,4,11.20,,3,10.97,26.27
3,10.34,36.52,2,10.34,36.42,4,10.32,,1,10.06,36.33
1,9.71,46.23,4,10.07,46.49,2,9.72,,3,10.06,46.39
1,9.46,55.69,3,9.39,55.88,2,9.43,,3,9.49,55.88
1,9.42,1:05.11,3,9.46,1:05.34,2,9.41,,4,9.66,1:05.54
1,9.32,1:14.43,2,9.26,1:14.60,3,9.45,,4,9.37,1:14.91
1,9.14,1:23.57,2,9.18,1:23.78,3,9.14,,4,9.50,1:24.41
1,9.28,1:32.841,2,10.04,1:33.814,2,9.69,,3,9.95,1:34.345
