EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME
2,7.10,7.10,1,6.95,6.95,3,7.23,7.23,4,7.42,7.42
2,8.88,15.98,1,8.88,15.83,3,8.86,16.09,4,8.79,16.21
1,8.21,24.19,2,8.45,24.28,3,8.36,24.45,4,8.45,24.66
1,8.67,32.86,2,8.67,32.95,3,8.59,33.04,4,8.71,33.37
1,8.81,41.67,2,8.85,41.80,3,8.95,41.99,4,9.14,42.51
