Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Caroline HALLISEY POSITION,Caroline HALLISEY LAP TIME,Caroline HALLISEY ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
2,14.718,14.718,3,14.866,14.866,1,14.687,14.687,4,14.946,14.946
3,11.348,26.066,4,11.371,26.237,2,11.374,26.061,1,11.106,26.052
2,11.027,37.093,4,10.927,37.163,1,11.021,37.081,3,11.073,37.125
1,10.636,47.728,2,10.575,47.738,3,10.726,47.807,4,11.027,48.152
3,10.065,57.793,1,9.744,57.481,2,9.880,57.687,4,10.193,58.344
3,9.962,1:07.755,1,9.835,1:07.316,2,9.997,1:07.683,4,10.993,1:09.337
3,10.033,1:17.788,1,10.296,1:17.611,2,10.097,1:17.780,4,11.853,1:21.190
2,10.233,1:28.020,4,20.558,1:38.169,1,10.222,1:28.002,3,12.352,1:33.541
3,10.38,1:38.398,1,0.09,1:38.257,2,10.32,1:38.322,4,13.02,1:46.554
