BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,9.76,9.76,3,9.95,9.95,4,10.10,,1,9.53,9.53,5,10.20,10.20,6,10.28,10.28
2,12.96,22.72,4,12.86,22.81,6,12.93,,3,13.27,22.80,1,12.45,22.65,5,12.70,22.98
4,11.75,34.47,1,11.29,34.10,5,11.59,,5,11.82,34.62,3,11.67,34.32,2,11.23,34.21
5,10.83,45.30,2,10.74,44.84,6,10.85,,1,10.06,44.68,4,10.82,45.14,3,10.77,44.98
5,10.17,55.47,4,10.53,55.37,6,10.09,,3,10.45,55.13,1,9.86,55.00,2,10.11,55.09
5,9.61,1:05.08,1,9.38,1:04.75,6,9.77,,2,9.66,1:04.79,3,9.83,1:04.83,4,9.86,1:04.95
3,9.11,1:14.19,1,9.22,1:13.97,6,9.18,,2,9.32,1:14.11,3,9.36,1:14.19,5,9.36,1:14.31
2,9.09,1:23.28,1,9.21,1:23.18,6,9.15,,4,9.28,1:23.39,3,9.14,1:23.33,5,9.14,1:23.45
3,9.17,1:32.45,2,9.21,1:32.39,6,9.13,,5,9.28,1:32.67,1,8.97,1:32.30,4,9.16,1:32.61
3,9.26,1:41.71,2,9.22,1:41.61,6,9.35,,5,9.26,1:41.93,1,9.17,1:41.47,4,9.21,1:41.82
3,9.15,1:50.86,2,9.14,1:50.75,6,9.12,,5,9.18,1:51.11,1,9.22,1:50.69,4,9.15,1:50.97
2,8.99,1:59.85,3,9.17,1:59.92,6,8.92,,5,9.06,2:00.17,1,9.00,1:59.69,4,9.04,2:00.01
2,9.12,2:08.97,3,9.15,2:09.07,5,9.24,,6,9.36,2:09.53,1,9.19,2:08.88,4,9.09,2:09.10
2,9.22,2:18.19,3,9.21,2:18.28,5,9.20,,4,9.00,2:18.533,1,9.22,2:18.10,5,9.62,2:18.725
