CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
2,9.260,9.260,5,9.499,9.499,3,9.463,9.463,6,9.576,9.576,4,9.488,9.488,1,9.004,9.004
5,12.941,22.201,4,12.692,22.191,3,12.696,22.159,6,12.830,22.406,1,12.145,21.632,2,12.854,21.857
5,12.112,34.313,3,12.017,34.208,4,12.095,34.254,6,12.120,34.526,1,12.271,33.903,2,12.174,34.031
4,10.965,45.278,5,11.239,45.446,6,11.308,45.561,1,10.347,44.872,3,11.354,45.256,2,11.025,45.055
3,10.241,55.518,5,10.280,55.725,6,10.192,55.753,2,10.494,55.365,4,10.307,55.562,1,10.187,55.241
4,10.710,1:06.227,5,10.569,1:06.294,6,10.708,1:06.461,2,10.658,1:06.023,3,10.613,1:06.175,1,10.583,1:05.823
3,10.718,1:16.945,5,10.900,1:17.193,6,10.756,1:17.216,2,10.872,1:16.895,4,10.941,1:17.115,1,11.011,1:16.834
3,10.487,1:27.431,4,10.355,1:27.548,6,10.535,1:27.750,2,10.458,1:27.352,5,10.459,1:27.574,1,10.483,1:27.316
5,10.439,1:37.870,4,10.310,1:37.858,6,10.401,1:38.151,1,10.239,1:37.590,3,10.176,1:37.749,2,10.334,1:37.649
5,10.363,1:48.233,3,10.209,1:48.066,6,10.242,1:48.392,1,10.201,1:47.790,2,10.161,1:47.910,4,10.461,1:48.110
5,10.290,1:58.522,3,10.269,1:58.334,6,10.230,1:58.621,1,10.339,1:58.129,2,10.275,1:58.184,4,10.259,1:58.369
5,10.294,2:08.816,4,10.436,2:08.770,6,10.536,2:09.157,1,10.341,2:08.470,2,10.406,2:08.589,3,10.327,2:08.695
2,10.095,2:18.911,3,10.283,2:19.053,6,10.396,2:19.552,1,10.299,2:18.768,4,10.658,2:19.247,5,10.562,2:19.257
2,10.54,2:29.451,3,10.63,2:29.677,4,10.77,2:30.321,1,10.57,2:29.337,5,11.57,2:30.808,0,,DQ
