Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
1,12.98,12.98,4,13.38,13.38,3,13.25,13.25,2,13.08,13.08,5,13.49,13.49
2,10.63,23.61,5,10.65,24.03,3,10.58,23.83,1,10.50,23.58,4,10.41,23.90
1,9.75,33.36,4,9.56,33.59,3,9.67,33.50,2,9.82,33.40,5,9.77,33.67
1,9.82,43.18,4,9.88,43.47,2,9.79,43.29,3,9.99,43.39,5,9.88,43.55
2,9.36,52.54,4,9.38,52.85,1,9.11,52.40,3,9.20,52.59,5,9.42,52.97
2,8.85,1:01.39,4,9.02,1:01.87,1,8.88,1:01.28,3,8.87,1:01.46,5,9.08,1:02.05
2,8.78,1:10.17,4,9.23,1:11.10,1,8.83,1:10.11,3,8.80,1:10.26,5,9.18,1:11.23
2,9.06,1:19.23,4,9.53,1:20.63,1,9.02,1:19.13,3,9.25,1:19.51,5,9.47,1:20.70
2,9.25,1:28.474,4,9.84,1:30.461,1,9.26,1:28.385,3,9.20,1:28.702,5,9.77,1:30.467
