DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,7.19,7.19,1,6.95,6.95,3,7.30,7.30,4,7.40,7.40
2,9.34,16.53,1,9.15,16.10,3,9.29,16.59,4,9.32,16.72
2,9.00,25.53,1,9.16,25.26,3,9.03,25.62,4,8.97,25.69
3,8.87,34.40,1,9.06,34.32,4,8.98,34.60,2,8.71,34.40
0,,PEN,2,9.64,43.951,3,9.57,44.168,1,9.15,43.545
