Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME
2,13.714,13.714,1,13.500,13.500,4,14.418,14.418,3,13.973,13.973
2,10.257,23.971,1,10.126,23.626,4,10.282,24.699,3,10.036,24.010
2,9.714,33.685,1,9.902,33.528,4,10.843,35.543,3,9.914,33.924
2,10.124,43.809,1,10.103,43.631,4,10.927,46.469,3,10.069,43.992
2,10.080,53.889,1,10.085,53.716,4,11.161,57.630,3,10.045,54.037
4,23.122,1:17.011,2,10.204,1:03.919,3,11.611,1:09.241,1,9.708,1:03.745
4,15.190,1:32.201,2,10.509,1:14.428,3,11.861,1:21.102,1,10.289,1:14.034
4,11.093,1:43.294,1,10.497,1:24.925,3,12.091,1:33.192,2,11.032,1:25.066
4,11.559,1:54.854,2,11.197,1:36.122,3,10.542,1:43.734,1,10.981,1:36.048
