SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
2,9.59,9.59,1,9.49,9.49,3,9.76,9.76,5,10.05,10.05,4,9.90,9.90,6,10.22,10.22
3,13.55,23.14,1,13.56,23.05,4,13.46,23.22,6,13.43,23.48,5,13.33,23.23,2,12.87,23.09
4,11.18,34.32,2,11.07,34.12,3,11.02,34.24,6,11.07,34.55,5,11.21,34.44,1,10.93,34.02
4,10.95,45.27,2,10.94,45.06,3,10.92,45.16,6,10.99,45.54,5,10.97,45.41,1,10.92,44.94
4,10.80,56.07,1,10.76,55.82,3,10.77,55.93,6,10.84,56.38,5,10.80,56.21,2,10.98,55.92
4,9.76,1:05.83,1,9.86,1:05.68,2,9.81,1:05.74,6,9.74,1:06.12,5,9.78,1:05.99,3,9.89,1:05.81
1,9.33,1:15.16,2,9.63,1:15.31,3,9.66,1:15.40,6,9.63,1:15.75,4,9.50,1:15.49,5,9.84,1:15.65
2,9.60,1:24.76,1,9.41,1:24.72,3,9.47,1:24.87,6,9.39,1:25.14,4,9.48,1:24.97,5,9.39,1:25.04
2,9.40,1:34.16,1,9.39,1:34.11,3,9.39,1:34.26,5,9.34,1:34.48,4,9.39,1:34.36,6,9.58,1:34.62
2,9.37,1:43.53,1,9.33,1:43.44,3,9.40,1:43.66,5,9.39,1:43.87,4,9.41,1:43.77,6,9.35,1:43.97
1,8.79,1:52.32,2,9.04,1:52.48,3,8.92,1:52.58,5,8.93,1:52.80,4,8.89,1:52.66,6,8.91,1:52.88
1,8.85,2:01.17,2,8.77,2:01.25,3,8.83,2:01.41,5,8.78,2:01.58,4,8.81,2:01.47,6,8.83,2:01.71
1,8.70,2:09.87,2,8.87,2:10.12,4,8.77,2:10.18,5,8.74,2:10.32,3,8.67,2:10.14,6,8.73,2:10.44
1,8.88,2:18.75,4,9.08,2:19.205,3,8.84,2:19.02,6,8.98,2:19.308,2,8.68,2:18.82,5,8.84,2:19.284
