Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,13.19,13.19,3,13.21,13.21,1,12.88,12.88,4,13.55,13.55
2,10.07,23.26,3,10.09,23.30,1,10.32,23.21,4,9.97,23.53
2,10.01,33.28,3,10.03,33.34,1,9.92,33.13,4,10.06,33.60
3,9.88,43.17,1,9.77,43.11,2,9.99,43.13,4,9.89,43.49
3,9.26,52.43,1,9.10,52.21,2,9.19,52.32,4,9.08,52.58
3,9.13,1:01.56,1,8.90,1:01.12,2,9.09,1:01.42,4,9.12,1:01.71
2,9.28,1:10.85,4,16.38,1:17.51,1,9.14,1:10.56,3,9.29,1:11.00
2,9.28,1:20.13,3,2.86,1:20.37,1,9.54,1:20.10,4,9.40,1:20.40
3,9.77,1:29.895,1,9.31,1:29.677,2,9.68,1:29.773,4,9.91,1:30.306
