WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,8.75,8.75,2,8.95,8.95,4,9.29,9.29,3,9.08,9.08,5,9.42,9.42
1,11.48,20.23,2,11.44,20.39,4,11.34,20.63,3,11.44,20.52,5,11.34,20.76
1,11.06,31.29,2,11.03,31.42,4,11.02,31.65,3,11.02,31.54,5,10.98,31.74
1,10.97,42.26,2,10.94,42.36,5,10.94,42.59,3,10.92,42.46,4,10.75,42.49
1,10.65,52.91,2,10.65,53.01,5,10.76,53.35,4,10.76,53.22,3,10.62,53.11
2,10.47,1:03.38,1,10.35,1:03.36,5,10.43,1:03.78,4,10.45,1:03.67,3,10.43,1:03.54
1,9.65,1:13.03,2,9.77,1:13.13,5,9.70,1:13.48,4,9.62,1:13.29,3,9.63,1:13.17
3,9.82,1:22.85,1,9.62,1:22.75,5,9.79,1:23.27,4,9.79,1:23.08,2,9.66,1:22.83
3,9.47,1:32.32,1,9.43,1:32.18,5,9.36,1:32.63,4,9.38,1:32.46,2,9.37,1:32.20
2,9.15,1:41.47,5,9.88,1:42.06,4,9.03,1:41.66,3,9.10,1:41.56,1,9.18,1:41.38
3,9.14,1:50.61,5,9.12,1:51.18,2,8.90,1:50.56,4,9.19,1:50.75,1,9.12,1:50.50
3,9.13,1:59.74,5,9.17,2:00.35,1,8.63,1:59.19,4,9.22,1:59.97,2,9.09,1:59.59
3,9.41,2:09.15,5,9.45,2:09.80,1,9.01,2:08.20,4,9.39,2:09.36,2,9.46,2:09.05
3,9.45,2:18.601,5,10.05,2:19.847,1,9.90,2:18.096,4,9.67,2:19.024,2,9.40,2:18.449
