Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
1,13.36,13.36,3,13.52,13.52,2,13.45,13.45,4,13.69,13.69
1,10.89,24.25,2,10.91,24.43,3,10.99,24.44,4,10.85,24.54
1,10.75,35.01,3,10.70,35.14,2,10.69,35.13,4,10.72,35.27
1,10.51,45.53,3,10.44,45.58,2,10.42,45.56,4,10.51,45.78
3,9.46,54.99,2,9.36,54.94,1,9.29,54.86,4,9.41,55.20
3,9.08,1:04.07,1,8.80,1:03.75,2,8.90,1:03.77,4,8.97,1:04.18
3,9.19,1:13.26,1,8.92,1:12.67,2,9.03,1:12.80,4,9.09,1:13.28
3,9.45,1:22.71,1,8.90,1:21.58,2,8.87,1:21.67,4,9.56,1:22.84
4,10.03,1:32.735,2,9.70,1:31.272,1,9.30,1:30.970,3,9.57,1:32.404
