Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME
0,8.843,8.843,0,8.925,8.925,0,8.880,8.880,0,8.615,8.615,0,8.940,8.940,0,8.781,8.781
0,11.617,20.460,0,11.090,20.015,0,11.636,20.516,0,11.535,20.150,0,11.268,20.208,0,11.527,20.307
0,10.948,31.408,0,10.909,30.924,0,10.895,31.411,0,11.019,31.168,0,10.818,31.026,0,10.687,30.994
0,10.440,41.848,0,10.607,41.531,0,10.388,41.800,0,10.388,41.556,0,10.593,41.619,0,10.519,41.513
0,10.475,52.322,0,10.436,51.967,0,10.622,52.421,0,10.781,52.337,0,10.507,52.126,0,13.783,55.296
0,9.978,1:02.300,0,10.536,1:02.503,0,10.239,1:02.660,0,10.182,1:02.519,0,10.344,1:02.470,0,7.246,1:02.542
0,10.707,1:13.007,0,10.426,1:12.929,0,10.480,1:13.140,0,10.444,1:12.963,0,10.583,1:13.053,0,10.756,1:13.298
0,10.953,1:23.960,0,10.881,1:23.810,0,11.192,1:24.332,0,11.100,1:24.062,0,10.887,1:23.940,0,10.831,1:24.129
0,10.733,1:34.692,0,10.934,1:34.744,0,10.779,1:35.111,0,10.849,1:34.912,0,10.920,1:34.860,0,10.889,1:35.018
0,10.865,1:45.557,0,10.713,1:45.457,0,10.732,1:45.843,0,10.816,1:45.728,0,10.760,1:45.620,0,10.881,1:45.899
0,10.436,1:55.993,0,10.353,1:55.809,0,10.328,1:56.171,0,10.343,1:56.071,0,10.441,1:56.061,0,10.383,1:56.282
0,10.482,2:06.475,0,10.514,2:06.323,0,22.205,2:18.376,0,20.938,2:17.009,0,26.762,2:22.822,0,10.346,2:06.628
0,10.787,2:17.262,0,10.850,2:17.173,0,13.424,2:31.800,0,19.832,2:36.841,0,15.992,2:38.815,0,10.730,2:17.358
0,,,0,,,0,,,0,,,0,,,0,,
