Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
2,13.52,13.52,3,13.58,13.58,1,13.37,13.37
1,10.02,23.54,2,9.98,23.56,3,10.21,23.58
1,9.62,33.16,3,9.86,33.42,2,9.69,33.27
1,9.75,42.91,3,9.69,43.11,2,9.74,43.01
1,9.79,52.70,3,9.83,52.94,2,9.80,52.81
1,9.66,1:02.36,3,9.70,1:02.64,2,9.69,1:02.50
1,9.49,1:11.85,3,9.42,1:12.06,2,9.45,1:11.95
1,9.46,1:21.31,2,9.35,1:21.41,3,9.48,1:21.43
1,9.56,1:30.869,2,9.54,1:30.942,3,9.65,1:31.076
