Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
1,14.16,14.16,4,14.53,14.53,3,14.43,14.43,2,14.33,14.33,5,14.64,14.64
1,10.94,25.10,4,10.97,25.50,3,10.94,25.37,2,10.94,25.27,5,11.01,25.65
2,10.53,35.63,4,10.42,35.92,3,10.42,35.79,1,10.33,35.60,5,10.39,36.04
2,10.01,45.64,4,9.98,45.90,3,9.99,45.78,1,9.95,45.55,5,9.88,45.92
3,9.54,55.18,5,9.58,55.48,4,9.54,55.32,1,9.50,55.05,2,9.21,55.13
3,9.25,1:04.43,5,9.17,1:04.65,4,9.21,1:04.53,2,9.08,1:04.13,1,8.84,1:03.97
3,9.22,1:13.65,4,9.16,1:13.81,5,9.38,1:13.91,2,8.97,1:13.10,1,9.03,1:13.00
4,9.88,1:23.53,5,20.16,1:33.97,3,9.50,1:23.41,1,8.82,1:21.92,2,9.08,1:22.08
4,10.36,1:33.870,5,19.93,1:53.872,3,9.80,1:33.189,1,9.10,1:31.002,2,9.41,1:31.465
