Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,7.45,7.45,2,7.67,7.67,3,7.86,7.86,5,8.02,,4,7.88,7.88
1,9.83,17.28,2,9.83,17.50,3,9.78,17.64,4,9.79,,5,10.09,17.97
1,9.38,26.66,3,9.46,26.96,2,9.10,26.74,5,9.20,,4,9.00,26.97
2,9.47,36.13,3,9.40,36.36,1,9.10,35.84,5,33.83,,4,24.07,51.04
2,9.62,45.748,3,9.65,45.995,1,9.41,45.241,5,23.82,,4,22.23,1:13.221
