START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,7.35,7.35,5,8.58,8.58,2,7.85,7.85,3,7.86,7.86,4,8.14,8.14,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),500m,w,Quarterfinals,2
1,9.54,16.89,5,10.07,18.65,2,9.59,17.44,3,9.65,17.51,4,9.80,17.94,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),500m,w,Quarterfinals,2
1,9.05,25.94,5,9.23,27.88,2,9.26,26.70,3,9.26,26.77,4,9.20,27.14,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),500m,w,Quarterfinals,2
1,9.17,35.11,5,9.42,37.30,3,9.44,36.14,2,9.34,36.11,4,9.35,36.49,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),500m,w,Quarterfinals,2
1,9.33,44.44,5,10.04,47.344,3,9.66,45.809,2,9.51,45.62,4,9.64,46.139,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),500m,w,Quarterfinals,2
