Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Shani DAVIS POSITION,Shani DAVIS LAP TIME,Shani DAVIS ELAPSED TIME
1,13.704,13.704,4,14.182,14.182,2,13.920,13.920,3,13.931,13.931
2,10.456,24.159,3,10.069,24.251,4,10.368,24.288,1,10.138,24.068
3,9.944,34.103,4,9.952,34.203,1,9.628,33.916,2,9.984,34.052
3,9.568,43.670,4,9.708,43.911,1,9.633,43.548,2,9.573,43.624
3,9.485,53.155,4,9.282,53.193,1,9.503,53.051,2,9.450,53.074
3,9.307,1:02.461,4,9.542,1:02.735,1,9.286,1:02.336,2,9.294,1:02.368
3,9.216,1:11.677,4,9.016,1:11.750,1,9.169,1:11.505,2,9.225,1:11.592
3,9.352,1:21.028,4,9.420,1:21.170,1,9.428,1:20.933,2,9.357,1:20.949
4,9.60,1:30.621,2,9.35,1:30.512,3,9.64,1:30.569,1,9.42,1:30.361
