KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,KONG Sangjeong POSITION,KONG Sangjeong LAP TIME,KONG Sangjeong ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME
3,9.54,9.54,1,9.39,9.39,6,9.87,9.87,4,9.66,9.66,2,9.51,9.51,5,9.72,9.72
4,14.25,23.79,2,14.24,23.63,6,14.19,24.06,5,14.26,23.92,1,14.10,23.61,3,14.00,23.72
3,13.50,37.29,1,13.38,37.01,6,13.63,37.69,4,13.48,37.40,2,13.51,37.12,5,13.79,37.51
3,13.33,50.62,1,13.32,50.33,6,13.26,50.95,5,13.33,50.73,2,13.30,50.42,4,13.20,50.71
4,11.66,1:02.28,2,11.68,1:02.01,6,11.60,1:02.55,5,11.68,1:02.41,3,11.70,1:02.12,1,11.16,1:01.87
4,11.85,1:14.13,2,11.89,1:13.90,6,11.87,1:14.42,5,11.83,1:14.24,1,11.77,1:13.89,3,12.15,1:14.02
6,10.60,1:24.73,2,10.46,1:24.36,5,10.25,1:24.67,3,10.23,1:24.47,1,10.37,1:24.26,4,10.59,1:24.61
6,10.65,1:35.38,2,10.42,1:34.78,5,10.39,1:35.06,3,10.46,1:34.93,1,10.44,1:34.70,4,10.43,1:35.04
6,10.25,1:45.63,2,10.36,1:45.14,4,10.32,1:45.38,3,10.33,1:45.26,1,10.38,1:45.08,5,10.47,1:45.51
6,10.07,1:55.70,1,9.98,1:55.12,4,10.12,1:55.50,3,10.09,1:55.35,2,10.15,1:55.23,5,10.13,1:55.64
6,10.04,2:05.74,1,10.04,2:05.16,4,9.98,2:05.48,3,10.02,2:05.37,2,10.02,2:05.25,5,9.98,2:05.62
6,10.14,2:15.88,1,10.10,2:15.26,3,9.96,2:15.44,4,10.16,2:15.53,2,10.09,2:15.34,5,10.06,2:15.68
6,10.16,2:26.04,1,10.10,2:25.36,4,10.32,2:25.76,3,9.99,2:25.52,2,10.12,2:25.46,5,10.22,2:25.90
6,10.27,2:36.302,1,10.13,2:35.488,4,10.32,2:36.078,3,10.19,2:35.710,2,10.11,2:35.563,5,10.33,2:36.222
