WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME
2,13.38,13.38,3,13.39,13.39,1,13.33,13.33,4,13.56,13.56
2,10.11,23.49,3,10.15,23.54,1,10.12,23.45,4,10.12,23.68
1,9.64,33.13,3,9.78,33.32,2,9.85,33.30,4,9.80,33.48
2,9.85,42.98,1,9.64,42.96,3,9.81,43.11,4,9.74,43.22
2,9.97,52.95,1,9.90,52.86,3,9.97,53.08,4,9.97,53.19
1,10.08,1:03.03,3,10.25,1:03.11,2,10.01,1:03.09,4,10.08,1:03.27
1,10.48,1:13.51,4,24.34,1:27.45,2,10.60,1:13.69,3,21.37,1:24.64
2,11.31,1:24.82,4,15.37,1:42.82,1,11.00,1:24.69,3,14.30,1:38.94
2,12.49,1:37.305,3,13.69,1:56.507,1,10.99,1:35.677,0,,PEN
