Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
3,12.79,12.79,1,12.50,12.50,2,12.67,12.67,4,13.07,13.07
4,9.92,22.71,1,9.28,21.78,2,9.42,22.10,3,9.55,22.62
3,9.11,31.82,1,9.68,31.47,2,9.56,31.67,4,12.10,34.72
2,9.32,41.14,1,9.55,41.02,3,9.58,41.25,4,13.87,48.60
3,9.99,51.14,1,9.67,50.70,2,9.59,50.84,4,14.05,1:02.65
1,8.98,1:00.13,2,9.44,1:00.15,3,9.55,1:00.39,4,12.86,1:15.52
1,9.49,1:09.62,2,9.61,1:09.76,3,9.57,1:09.96,4,12.95,1:28.47
2,10.36,1:19.98,1,9.64,1:19.40,3,10.33,1:20.30,4,13.08,1:41.56
2,11.06,1:31.032,1,10.13,1:29.528,0,,DQ,3,12.94,1:54.493
