SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME
1,12.06,12.06,4,12.42,12.42,2,12.26,12.26,3,12.38,12.38,6,12.77,12.77,5,12.64,12.64
1,17.06,29.12,4,17.11,29.53,2,16.95,29.21,3,17.00,29.38,5,16.90,29.67,6,17.10,29.74
1,16.27,45.39,4,16.38,45.91,2,16.34,45.55,3,16.35,45.73,5,16.40,46.07,6,16.47,46.21
1,14.69,1:00.08,4,14.61,1:00.52,2,14.66,1:00.21,3,14.64,1:00.37,5,14.56,1:00.63,6,14.56,1:00.77
1,13.79,1:13.87,5,13.79,1:14.31,2,13.75,1:13.96,3,13.75,1:14.12,4,13.67,1:14.30,6,13.69,1:14.46
1,13.19,1:27.06,2,12.85,1:27.16,3,13.22,1:27.18,4,13.06,1:27.18,5,13.05,1:27.35,6,13.16,1:27.62
3,10.79,1:37.85,2,10.68,1:37.84,5,10.97,1:38.15,1,10.56,1:37.74,4,10.64,1:37.99,6,11.19,1:38.81
3,9.94,1:47.79,2,9.85,1:47.69,5,9.86,1:48.01,1,9.85,1:47.59,4,9.81,1:47.80,6,10.97,1:49.78
3,9.86,1:57.65,2,9.90,1:57.59,5,9.87,1:57.88,1,9.92,1:57.51,4,9.97,1:57.77,6,11.02,2:00.80
3,10.28,2:07.93,2,10.20,2:07.79,5,10.17,2:08.05,4,10.53,2:08.04,1,9.73,2:07.50,6,11.13,2:11.93
3,10.02,2:17.95,2,9.62,2:17.41,5,10.64,2:18.69,4,10.09,2:18.13,1,9.55,2:17.05,6,11.28,2:23.21
3,9.74,2:27.69,2,9.47,2:26.88,5,11.13,2:29.82,4,9.89,2:28.02,1,9.64,2:26.69,6,11.64,2:34.85
3,9.89,2:37.58,2,9.69,2:36.57,5,11.72,2:41.54,4,10.28,2:38.30,1,9.73,2:36.42,6,11.84,2:46.69
3,10.42,2:47.991,2,10.03,2:46.597,5,12.10,2:53.640,4,10.72,2:49.012,1,10.02,2:46.436,6,11.97,2:58.660
