KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME
4,15.443,15.443,1,14.694,14.694,2,15.118,15.118,3,15.280,15.280
4,11.054,26.496,1,11.650,26.343,2,11.245,26.363,3,11.190,26.470
1,10.068,36.564,2,10.241,36.584,3,10.244,36.606,4,10.137,36.606
2,10.182,46.745,1,10.064,46.647,4,10.312,46.918,3,10.307,46.912
3,9.937,56.682,1,9.865,56.511,4,9.886,56.804,2,9.675,56.586
3,9.815,1:06.496,2,9.865,1:06.376,4,9.923,1:06.726,1,9.763,1:06.348
3,9.866,1:16.361,2,9.922,1:16.297,4,9.862,1:16.587,1,9.835,1:16.183
2,9.804,1:26.165,1,9.772,1:26.069,4,9.741,1:26.328,3,10.142,1:26.324
1,9.83,1:35.989,2,10.07,1:36.131,3,10.04,1:36.361,0,,DQ
