Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
2,7.95,7.95,4,8.50,8.50,3,8.20,8.20,1,7.55,7.55
2,10.29,18.24,4,10.32,18.83,3,10.08,18.28,1,9.75,17.30
2,9.66,27.91,4,9.44,28.27,3,9.63,27.92,1,9.33,26.64
3,9.60,37.52,4,9.61,37.88,2,9.58,37.50,1,9.37,36.01
3,10.18,47.699,4,10.05,47.927,2,10.13,47.622,1,9.58,45.586
