Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
1,9.89,9.89,2,10.24,10.24,5,10.74,10.74,3,10.43,10.43,4,10.54,10.54,6,10.91,10.91
1,14.05,23.94,2,13.85,24.09,5,13.84,24.58,3,13.89,24.32,4,13.88,24.42,6,13.80,24.71
1,13.27,37.21,2,13.28,37.37,5,13.22,37.80,3,13.27,37.59,4,13.24,37.66,6,13.21,37.92
1,13.10,50.31,2,13.02,50.39,5,13.03,50.83,3,12.96,50.55,3,12.89,50.55,6,13.00,50.92
2,11.04,1:01.35,4,11.25,1:01.64,5,10.98,1:01.81,3,10.94,1:01.49,1,10.71,1:01.26,6,11.02,1:01.94
2,10.32,1:11.67,4,10.26,1:11.90,5,10.19,1:12.00,3,10.30,1:11.79,1,10.30,1:11.56,6,10.16,1:12.10
1,9.97,1:21.64,4,10.09,1:21.99,5,10.12,1:22.12,3,10.07,1:21.86,2,10.15,1:21.71,6,10.12,1:22.22
2,9.88,1:31.52,4,9.76,1:31.75,5,9.75,1:31.87,3,9.76,1:31.62,1,9.72,1:31.43,6,9.76,1:31.98
3,9.64,1:41.16,4,9.50,1:41.25,5,9.48,1:41.35,2,9.45,1:41.07,1,9.55,1:40.98,6,9.52,1:41.50
4,9.42,1:50.58,3,9.20,1:50.45,5,9.30,1:50.65,2,9.27,1:50.34,1,9.28,1:50.26,6,9.35,1:50.85
4,9.35,1:59.93,3,9.36,1:59.81,5,9.39,2:00.04,2,9.36,1:59.70,1,9.33,1:59.59,6,9.42,2:00.27
4,9.22,2:09.15,3,9.25,2:09.06,5,9.29,2:09.33,2,9.17,2:08.87,1,9.21,2:08.80,6,9.47,2:09.74
4,9.21,2:18.36,3,9.18,2:18.24,5,9.13,2:18.46,2,9.28,2:18.15,1,9.25,2:18.05,6,9.70,2:19.44
5,9.34,2:27.708,3,9.19,2:27.454,4,9.14,2:27.613,1,9.14,2:27.298,2,9.27,2:27.328,6,10.06,2:29.506
