KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
5,14.73,14.73,3,14.47,14.47,2,14.31,14.31,1,14.23,14.23,4,14.61,14.61
5,10.94,25.67,3,11.04,25.51,2,11.17,25.48,1,11.20,25.43,4,11.00,25.61
3,9.58,35.25,1,9.47,34.98,4,9.93,35.41,2,9.71,35.14,5,9.91,35.52
3,9.63,44.88,1,9.67,44.65,4,9.59,45.00,2,9.53,44.67,5,9.54,45.06
3,9.65,54.53,2,9.80,54.45,4,9.58,54.58,1,9.68,54.35,5,9.63,54.69
5,9.83,1:04.36,2,9.67,1:04.12,3,9.65,1:04.23,1,9.68,1:04.03,4,9.63,1:04.32
5,9.90,1:14.26,2,9.68,1:13.80,3,9.69,1:13.92,1,9.70,1:13.73,4,9.74,1:14.06
5,9.77,1:24.03,2,9.78,1:23.58,3,9.86,1:23.78,1,9.77,1:23.50,4,9.86,1:23.92
5,10.17,1:34.200,2,9.82,1:33.397,3,9.78,1:33.557,1,9.83,1:33.330,4,10.18,1:34.092
