Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Jeff SCHOLTEN POSITION,Jeff SCHOLTEN LAP TIME,Jeff SCHOLTEN ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME
2,10.766,10.766,5,11.309,11.309,3,11.056,11.056,1,10.725,10.725,4,11.244,11.244
1,17.445,28.210,4,17.532,28.841,3,17.520,28.576,2,17.590,28.315,5,17.682,28.925
3,15.399,43.609,1,14.567,43.408,4,15.305,43.880,2,15.283,43.598,5,15.023,43.947
4,12.878,56.487,3,13.053,56.461,5,12.831,56.711,2,12.830,56.427,1,12.144,56.091
3,11.670,1:08.156,2,11.558,1:08.018,5,11.635,1:08.345,4,11.843,1:08.270,1,11.803,1:07.893
2,11.039,1:19.195,5,11.432,1:19.449,3,10.885,1:19.229,4,11.013,1:19.282,1,11.233,1:19.125
4,10.242,1:29.436,2,9.849,1:29.297,5,10.415,1:29.644,1,9.900,1:29.181,3,10.191,1:29.316
4,9.863,1:39.299,2,9.764,1:39.061,5,9.803,1:39.446,1,9.877,1:39.058,3,9.784,1:39.100
4,10.301,1:49.600,1,10.282,1:49.343,5,10.396,1:49.841,2,10.334,1:49.392,3,10.301,1:49.401
4,9.725,1:59.324,2,9.812,1:59.154,5,9.793,1:59.634,3,9.802,1:59.193,1,9.642,1:59.043
4,9.528,2:08.852,1,9.539,2:08.693,5,9.426,2:09.059,3,9.587,2:08.779,2,9.653,2:08.696
4,9.348,2:18.199,1,9.185,2:17.877,5,9.478,2:18.536,2,9.202,2:17.981,3,9.456,2:18.151
3,9.390,2:27.589,1,9.371,2:27.248,5,9.548,2:28.083,2,9.349,2:27.330,4,9.533,2:27.684
3,9.33,2:36.916,1,9.55,2:36.790,5,9.71,2:37.786,2,9.48,2:36.801,4,9.77,2:37.447
