AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Matthew MAK POSITION,Matthew MAK LAP TIME,Matthew MAK ELAPSED TIME
2,7.21,7.21,1,7.07,7.07,3,7.41,7.41,4,7.97,7.97
2,9.38,16.59,1,9.43,16.50,3,9.52,16.93,4,10.16,18.13
1,8.65,25.24,2,8.85,25.35,3,9.13,26.06,4,9.84,27.97
1,8.85,34.09,2,8.83,34.18,3,9.24,35.30,4,10.06,38.03
1,9.01,43.099,2,9.05,43.222,3,9.46,44.757,4,10.53,48.560
