Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,7.20,7.20,3,7.36,7.36,2,7.30,7.30,4,7.38,7.38
1,9.45,16.65,3,9.53,16.89,2,9.53,16.83,4,9.62,17.00
1,8.87,25.52,3,8.83,25.72,2,8.81,25.64,4,8.85,25.85
1,8.88,34.40,3,8.83,34.55,2,8.86,34.50,4,8.87,34.72
4,36.12,1:10.515,2,9.10,43.642,1,9.06,43.560,3,9.01,43.730
