Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
2,7.97,7.97,4,8.16,8.16,1,7.87,7.87,3,8.06,8.06,5,8.27,8.27,6,8.45,8.45
3,12.54,20.51,2,12.29,20.45,1,12.55,20.42,4,12.57,20.63,6,12.62,20.89,5,12.29,20.74
3,10.95,31.46,1,10.74,31.19,2,10.95,31.37,4,10.92,31.55,6,10.88,31.77,5,10.94,31.68
2,11.25,42.71,1,11.47,42.66,3,11.41,42.78,4,11.41,42.96,6,11.39,43.16,5,11.41,43.09
2,10.52,53.23,3,10.66,53.32,5,10.55,53.33,1,10.26,53.22,4,10.16,53.32,6,10.36,53.45
2,10.04,1:03.27,4,10.11,1:03.43,6,10.33,1:03.66,3,10.15,1:03.37,1,9.88,1:03.20,5,10.08,1:03.53
2,10.65,1:13.92,4,10.69,1:14.12,5,10.53,1:14.19,3,10.67,1:14.04,1,10.62,1:13.82,6,10.71,1:14.24
3,9.96,1:23.88,4,9.88,1:24.00,5,9.96,1:24.15,2,9.77,1:23.81,1,9.89,1:23.71,6,10.03,1:24.27
3,9.86,1:33.74,4,9.94,1:33.94,5,9.99,1:34.14,2,9.93,1:33.74,1,9.94,1:33.65,6,10.01,1:34.28
2,9.55,1:43.29,4,9.61,1:43.55,5,9.57,1:43.71,3,9.70,1:43.44,1,9.52,1:43.17,6,9.50,1:43.78
3,9.74,1:53.03,4,9.62,1:53.17,5,9.63,1:53.34,2,9.55,1:52.99,1,9.82,1:52.99,6,9.58,1:53.36
2,9.46,2:02.49,3,9.55,2:02.72,6,9.68,2:03.02,1,9.41,2:02.40,4,9.90,2:02.89,5,9.57,2:02.93
2,9.54,2:12.03,3,9.52,2:12.24,5,9.72,2:12.74,1,9.51,2:11.91,6,9.97,2:12.86,4,9.42,2:12.35
2,9.69,2:21.715,5,11.31,2:23.545,3,9.90,2:22.637,1,9.68,2:21.585,4,9.92,2:22.773,0,,PEN
