J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME
2,9.13,9.13,3,9.33,9.33,4,9.50,9.50,5,9.61,9.61,1,9.08,9.08,6,9.74,9.74
2,12.75,21.88,3,12.63,21.96,5,12.66,22.16,6,12.65,22.26,1,12.63,21.71,4,12.29,22.03
3,11.55,33.43,4,11.56,33.52,2,11.14,33.30,6,11.50,33.76,1,11.50,33.21,5,11.61,33.64
3,11.05,44.48,4,11.08,44.60,2,11.00,44.30,6,11.09,44.85,1,11.08,44.29,5,11.12,44.76
3,10.43,54.91,4,10.37,54.97,1,10.42,54.72,6,10.32,55.17,2,10.50,54.79,5,10.31,55.07
3,10.66,1:05.57,4,10.69,1:05.66,1,10.62,1:05.34,6,10.67,1:05.84,2,10.65,1:05.44,5,10.69,1:05.76
4,10.45,1:16.02,3,10.30,1:15.96,1,10.51,1:15.85,6,10.43,1:16.27,2,10.49,1:15.93,5,10.44,1:16.20
4,9.72,1:25.74,1,9.40,1:25.36,2,9.63,1:25.48,6,9.70,1:25.97,3,9.63,1:25.56,5,9.68,1:25.88
4,9.58,1:35.32,1,9.64,1:35.00,2,9.54,1:35.02,6,9.53,1:35.50,3,9.63,1:35.19,5,9.55,1:35.43
4,9.31,1:44.63,2,9.45,1:44.45,1,9.35,1:44.37,6,9.33,1:44.83,3,9.35,1:44.54,5,9.32,1:44.75
4,9.34,1:53.97,1,9.24,1:53.69,2,9.48,1:53.85,6,9.42,1:54.25,3,9.41,1:53.95,5,9.39,1:54.14
6,17.06,2:11.03,1,9.12,2:02.81,2,9.12,2:02.97,5,8.98,2:03.23,3,9.16,2:03.11,4,8.98,2:03.12
6,28.49,2:39.52,1,9.09,2:11.90,2,9.04,2:12.01,4,9.12,2:12.35,5,9.51,2:12.62,3,9.12,2:12.24
6,17.10,2:56.619,1,9.20,2:21.091,2,9.20,2:21.207,4,9.35,2:21.694,5,9.43,2:22.045,3,9.17,2:21.406
