Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
1,6.710,6.710,2,7.060,7.060,4,7.190,7.190,3,7.060,7.060
1,9.200,15.910,4,9.490,16.550,3,9.040,16.240,2,9.100,16.170
1,8.760,24.680,4,8.820,25.370,3,8.840,25.080,2,8.720,24.890
2,8.890,33.570,4,9.330,34.710,3,9.270,34.360,1,8.670,33.570
2,9.380,42.960,4,13.540,48.260,3,9.260,43.630,1,9.140,42.710
