Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
1,8.55,8.55,2,8.66,8.66,4,8.97,8.97,6,9.30,9.30,5,9.10,9.10,3,8.84,8.84
1,13.01,21.56,3,13.02,21.68,2,12.61,21.58,4,12.53,21.83,6,13.01,22.11,5,13.00,21.84
2,11.94,33.50,4,11.89,33.57,1,11.81,33.39,3,11.73,33.56,5,11.51,33.62,6,11.90,33.74
2,11.32,44.82,4,11.45,45.02,3,11.53,44.92,5,11.67,45.23,1,11.19,44.81,6,11.61,45.35
1,11.09,55.91,4,11.13,56.15,2,11.08,56.00,5,11.08,56.31,3,11.23,56.04,6,11.00,56.35
1,10.66,1:06.57,3,10.62,1:06.77,2,10.71,1:06.71,5,10.60,1:06.91,4,10.74,1:06.78,6,10.67,1:07.02
1,10.53,1:17.10,3,10.42,1:17.19,2,10.41,1:17.12,4,10.41,1:17.32,5,10.63,1:17.41,6,10.51,1:17.53
2,10.16,1:27.26,3,10.13,1:27.32,1,10.01,1:27.13,4,10.14,1:27.46,5,10.18,1:27.59,6,10.13,1:27.66
1,10.17,1:37.43,3,10.30,1:37.62,2,10.39,1:37.52,4,10.17,1:37.63,5,10.27,1:37.86,6,10.32,1:37.98
1,9.96,1:47.39,5,10.35,1:47.97,2,10.02,1:47.54,6,24.86,2:02.49,3,9.91,1:47.77,4,9.95,1:47.93
1,9.85,1:57.24,5,9.98,1:57.95,2,9.73,1:57.27,6,16.04,2:18.53,3,9.57,1:57.34,4,9.57,1:57.50
1,9.85,2:07.09,5,9.53,2:07.48,4,10.13,2:07.40,6,11.58,2:30.11,2,9.92,2:07.26,3,9.81,2:07.31
1,10.01,2:17.10,4,9.78,2:17.26,5,10.07,2:17.47,6,11.37,2:41.48,2,9.95,2:17.21,3,9.93,2:17.24
1,10.23,2:27.321,2,10.16,2:27.413,4,10.18,2:27.645,0,,PEN,0,,PEN,3,10.22,2:27.451
