HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
3,14.09,14.09,1,13.98,13.98,2,13.99,13.99,4,14.18,14.18,5,14.34,14.34
2,10.24,24.33,3,10.50,24.48,1,10.22,24.21,5,10.41,24.59,4,10.22,24.56
2,10.05,34.38,3,9.93,34.41,1,10.11,34.32,5,10.24,34.83,4,10.03,34.59
3,9.63,44.01,2,9.51,43.92,1,9.51,43.83,5,9.53,44.36,4,9.52,44.11
3,9.79,53.80,2,9.82,53.74,1,9.84,53.67,5,9.60,53.96,4,9.73,53.84
5,10.21,1:04.01,2,9.70,1:03.44,1,9.57,1:03.24,4,9.86,1:03.82,3,9.83,1:03.67
5,9.73,1:13.74,2,9.56,1:13.00,1,9.67,1:12.91,4,9.80,1:13.62,3,9.79,1:13.46
5,9.95,1:23.69,2,9.74,1:22.74,1,9.73,1:22.64,4,9.94,1:23.56,3,9.99,1:23.45
5,10.39,1:34.08,2,9.86,1:32.60,1,9.87,1:32.51,4,10.37,1:33.93,3,10.41,1:33.86
