Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME
3,9.96,9.96,4,10.03,10.03,1,9.82,9.82,2,9.84,9.84,5,10.42,10.42
3,14.26,24.22,4,14.32,24.35,2,14.30,24.12,1,14.15,23.99,5,14.18,24.60
3,14.23,38.45,4,14.21,38.56,2,14.18,38.30,1,14.18,38.17,5,14.25,38.85
3,13.93,52.38,4,13.97,52.53,1,13.85,52.15,2,14.02,52.19,5,13.93,52.78
4,12.65,1:05.03,2,12.24,1:04.77,1,12.59,1:04.74,3,12.73,1:04.92,5,12.65,1:05.43
4,10.68,1:15.71,1,10.72,1:15.49,2,10.87,1:15.61,3,10.71,1:15.63,5,10.61,1:16.04
3,10.56,1:26.27,1,10.57,1:26.06,2,10.54,1:26.15,4,10.74,1:26.37,5,10.54,1:26.58
3,10.98,1:37.25,1,10.96,1:37.02,2,11.00,1:37.15,4,11.03,1:37.40,5,11.00,1:37.58
3,10.35,1:47.60,1,10.36,1:47.38,2,10.35,1:47.50,4,10.36,1:47.76,5,10.35,1:47.93
3,10.23,1:57.83,1,10.26,1:57.64,2,10.22,1:57.72,4,10.20,1:57.96,5,10.15,1:58.08
3,10.19,2:08.02,1,10.16,2:07.80,2,10.20,2:07.92,4,10.25,2:08.21,5,10.15,2:08.23
2,9.86,2:17.88,1,10.05,2:17.85,4,10.10,2:18.02,5,10.14,2:18.35,3,9.77,2:18.00
1,9.83,2:27.71,3,10.14,2:27.99,4,10.28,2:28.30,5,10.23,2:28.58,2,9.72,2:27.72
2,10.33,2:38.031,3,10.47,2:38.460,4,10.66,2:38.957,5,10.91,2:39.482,1,9.96,2:37.672
