Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME
1,7.32,7.32,2,7.49,7.49,4,7.94,7.94,3,7.64,7.64,5,8.06,8.06
1,9.67,16.99,2,9.62,17.11,4,9.67,17.61,3,9.56,17.20,5,9.69,17.75
1,9.21,26.20,2,9.15,26.26,4,9.07,26.68,3,9.24,26.44,5,8.98,26.73
2,9.57,35.77,1,9.39,35.65,4,9.28,35.96,3,9.44,35.88,5,9.35,36.08
0,,PEN,4,24.03,59.677,2,9.50,45.457,1,9.48,45.361,3,10.22,46.291
