Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME
5,14.334,14.334,2,14.196,14.196,1,14.051,14.051,4,14.257,14.257,3,14.240,14.240
5,10.749,25.083,2,10.737,24.932,1,10.716,24.767,3,10.693,24.950,4,10.811,25.050
5,9.862,34.944,3,9.908,34.840,1,9.906,34.672,2,9.765,34.715,4,9.802,34.852
5,9.643,44.587,3,9.687,44.526,2,9.675,44.347,1,9.314,44.029,4,9.706,44.558
5,9.622,54.208,3,9.490,54.016,2,9.598,53.944,1,9.741,53.769,4,9.515,54.072
3,9.546,1:03.754,2,9.719,1:03.734,4,9.830,1:03.773,1,9.694,1:03.463,5,9.724,1:03.796
4,9.708,1:13.462,5,9.764,1:13.498,2,9.620,1:13.393,1,9.702,1:13.164,3,9.659,1:13.455
5,10.110,1:23.572,4,9.991,1:23.489,2,9.826,1:23.218,1,9.631,1:22.794,3,9.976,1:23.430
4,9.66,1:33.228,3,9.62,1:33.102,2,9.87,1:33.080,1,9.76,1:32.546,5,9.91,1:33.337
