Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.87,6.87,3,6.98,6.98,2,6.95,6.95,4,7.25,7.25
2,9.44,16.32,3,9.38,16.36,1,9.21,16.16,4,9.32,16.57
3,8.87,25.19,1,8.76,25.12,2,8.95,25.12,4,8.82,25.39
2,8.96,34.15,1,8.91,34.03,0,,,3,9.05,34.44
3,10.63,44.780,0,,DQ,1,,43.490,2,9.09,43.527
