Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,12.86,12.86,4,13.13,13.13,3,13.02,13.02,2,12.87,12.87
1,10.09,22.95,4,10.33,23.46,3,10.16,23.18,2,10.15,23.02
2,10.09,33.04,4,9.94,33.40,1,9.77,32.95,3,10.10,33.12
2,9.94,42.98,4,9.91,43.31,1,10.01,42.96,3,9.99,43.11
1,9.59,52.57,4,9.88,53.19,2,9.69,52.65,3,9.58,52.69
1,9.51,1:02.08,4,10.08,1:03.27,2,9.56,1:02.21,3,9.69,1:02.38
1,9.62,1:11.70,4,10.62,1:13.89,2,9.54,1:11.75,3,9.53,1:11.91
1,9.65,1:21.35,4,11.00,1:24.89,2,9.71,1:21.46,3,9.76,1:21.67
1,9.68,1:31.022,4,11.92,1:36.807,2,9.63,1:31.086,3,9.98,1:31.648
