SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Jade WHEELER POSITION,Jade WHEELER LAP TIME,Jade WHEELER ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Ivanie BLONDIN POSITION,Ivanie BLONDIN LAP TIME,Ivanie BLONDIN ELAPSED TIME
1,9.721,9.721,2,9.824,9.824,3,9.873,9.873,6,10.197,10.197,4,9.905,9.905,5,10.138,10.138
1,14.840,24.561,3,14.824,24.648,2,14.702,24.574,4,14.468,24.664,6,15.073,24.977,5,14.671,24.808
2,14.048,38.609,5,14.103,38.750,1,13.864,38.438,4,14.082,38.746,3,13.715,38.691,6,13.949,38.756
1,12.796,51.404,6,13.390,52.140,4,13.550,51.988,2,13.092,51.838,5,13.401,52.092,3,13.129,51.885
1,13.459,1:04.863,5,13.407,1:05.546,2,13.105,1:05.092,3,13.369,1:05.207,6,13.836,1:05.927,4,13.445,1:05.329
2,12.097,1:16.959,6,12.193,1:17.739,3,12.254,1:17.346,4,12.157,1:17.363,1,11.004,1:16.931,5,12.113,1:17.442
1,10.586,1:27.545,5,10.404,1:28.142,6,11.256,1:28.602,3,10.299,1:27.662,2,10.645,1:27.576,4,10.434,1:27.875
2,10.906,1:38.450,5,10.813,1:38.955,6,10.750,1:39.351,3,10.900,1:38.562,1,10.872,1:38.448,4,10.901,1:38.775
1,10.745,1:49.194,6,10.842,1:49.796,3,9.902,1:49.252,5,10.958,1:49.519,2,10.796,1:49.243,4,10.610,1:49.384
2,10.427,1:59.621,6,10.626,2:00.422,5,10.688,1:59.940,4,10.341,1:59.859,1,10.370,1:59.613,3,10.244,1:59.628
1,9.970,2:09.590,6,10.415,2:10.837,4,10.015,2:09.954,5,10.147,2:10.006,2,10.093,2:09.706,3,10.306,2:09.933
1,10.511,2:20.101,6,10.697,2:21.533,5,10.492,2:20.446,4,10.395,2:20.401,2,10.525,2:20.231,3,10.344,2:20.276
2,10.379,2:30.480,6,10.707,2:32.239,5,11.575,2:32.020,4,10.337,2:30.738,1,10.183,2:30.413,3,10.407,2:30.683
2,10.09,2:40.565,6,10.92,2:43.155,5,10.97,2:42.982,3,10.26,2:40.992,1,10.15,2:40.555,4,10.34,2:41.022
