Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Julien MORELLE POSITION,Julien MORELLE LAP TIME,Julien MORELLE ELAPSED TIME,JURKIEWICZ Przemyslaw POSITION,JURKIEWICZ Przemyslaw LAP TIME,JURKIEWICZ Przemyslaw ELAPSED TIME
3,14.527,14.527,2,14.504,14.504,1,14.239,14.239,4,14.596,14.596,5,14.668,14.668
5,11.728,26.254,4,11.662,26.165,1,11.779,26.018,2,11.432,26.027,3,11.429,26.097
4,10.771,37.025,3,10.785,36.950,2,10.790,36.807,1,10.639,36.666,5,11.021,37.117
5,11.629,48.654,2,10.847,47.797,4,11.198,48.004,1,10.888,47.554,3,10.750,47.866
5,9.645,58.298,3,10.285,58.081,1,9.965,57.969,2,10.473,58.027,4,10.335,58.201
4,9.712,1:08.010,3,9.891,1:07.972,1,9.625,1:07.594,2,9.686,1:07.712,5,10.086,1:08.286
4,9.442,1:17.451,3,9.416,1:17.388,1,9.526,1:17.119,2,9.474,1:17.185,5,9.260,1:17.546
4,9.465,1:26.916,1,9.260,1:26.647,2,9.543,1:26.662,5,9.757,1:26.942,3,9.343,1:26.888
4,10.58,1:37.490,1,9.60,1:36.240,2,9.74,1:36.400,3,9.77,1:36.707,0,,DQ
