Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
5,10.08,10.08,1,9.69,9.69,4,9.89,9.89,3,9.80,9.80,2,9.77,9.77
5,12.43,22.51,4,12.69,22.38,2,12.21,22.10,1,12.08,21.88,3,12.50,22.27
5,11.89,34.40,4,11.89,34.27,2,11.90,34.00,1,11.98,33.86,3,11.92,34.19
5,12.83,47.23,4,12.81,47.08,2,12.70,46.70,1,12.67,46.53,3,12.76,46.95
5,12.18,59.41,4,12.23,59.31,2,12.25,58.95,1,12.41,58.94,3,12.24,59.19
5,11.20,1:10.61,4,11.18,1:10.49,1,11.26,1:10.21,2,11.34,1:10.28,3,11.25,1:10.44
5,10.70,1:21.31,3,10.72,1:21.21,2,10.99,1:21.20,4,11.03,1:21.31,1,10.61,1:21.05
2,9.55,1:30.86,1,9.53,1:30.74,4,9.91,1:31.11,5,9.89,1:31.20,3,9.93,1:30.98
2,9.89,1:40.75,1,9.91,1:40.65,5,9.97,1:41.08,4,9.76,1:40.96,3,9.87,1:40.85
2,10.00,1:50.75,1,9.99,1:50.64,5,10.04,1:51.12,3,9.96,1:50.92,4,10.23,1:51.08
2,9.59,2:00.34,1,9.59,2:00.23,5,10.34,2:01.46,4,10.22,2:01.14,3,9.70,2:00.78
2,9.58,2:09.92,1,9.57,2:09.80,5,10.36,2:11.82,4,10.60,2:11.74,3,9.44,2:10.22
2,9.60,2:19.52,1,9.60,2:19.40,4,10.57,2:22.39,5,10.96,2:22.70,3,9.47,2:19.69
2,9.74,2:29.253,1,9.63,2:29.028,4,11.06,2:33.449,5,11.55,2:34.248,3,9.83,2:29.516
