Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME
4,13.55,13.55,2,13.30,13.30,3,13.44,13.44,5,13.71,13.71,1,13.05,13.05
3,10.21,23.76,2,10.38,23.68,4,10.43,23.87,5,10.24,23.95,1,10.54,23.59
3,10.94,34.70,2,10.91,34.59,4,10.96,34.83,5,10.95,34.90,1,10.87,34.46
3,10.51,45.21,1,10.53,45.12,4,10.57,45.40,5,10.62,45.52,2,10.74,45.20
2,10.26,55.47,1,10.24,55.36,4,10.30,55.70,5,10.26,55.78,3,10.40,55.60
2,9.78,1:05.25,1,9.81,1:05.17,4,9.67,1:05.37,5,9.83,1:05.61,3,9.75,1:05.35
2,9.71,1:14.96,1,9.69,1:14.86,3,9.69,1:15.06,5,9.81,1:15.42,4,9.86,1:15.21
3,9.71,1:24.67,1,9.71,1:24.57,2,9.59,1:24.65,5,9.84,1:25.26,4,9.78,1:24.99
3,10.22,1:34.886,1,9.81,1:34.371,2,9.76,1:34.407,5,10.59,1:35.848,4,10.22,1:35.203
