Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME
3,13.35,13.35,1,13.23,13.23,2,13.33,13.33,4,13.73,13.73
2,10.18,23.53,1,9.99,23.22,3,10.31,23.64,4,10.15,23.88
2,10.14,33.67,1,10.14,33.36,3,10.07,33.71,4,10.01,33.89
3,10.17,43.84,1,10.26,43.62,2,10.11,43.82,4,10.23,44.12
2,10.06,53.90,1,10.13,53.75,3,10.13,53.95,4,10.14,54.26
1,9.78,1:03.68,3,10.11,1:03.86,2,9.83,1:03.78,4,10.31,1:04.57
1,9.85,1:13.53,3,9.88,1:13.74,2,9.84,1:13.62,4,10.54,1:15.11
2,9.55,1:23.08,3,10.28,1:24.02,1,9.26,1:22.88,4,10.86,1:25.97
2,9.38,1:32.456,3,10.75,1:34.761,1,9.33,1:32.208,4,11.52,1:37.483
