Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.540,6.540,2,6.793,6.793,4,7.012,7.012,3,6.839,6.839
1,9.113,15.652,2,9.064,15.856,3,8.908,15.919,4,9.304,16.142
1,8.729,24.380,4,25.959,41.815,3,9.108,25.027,2,8.392,24.534
2,9.057,33.437,4,13.297,55.111,3,8.712,33.738,1,8.785,33.318
2,9.52,42.954,4,12.17,1:07.275,3,9.78,43.514,1,9.38,42.689
