Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
1,7.98,7.98,2,8.21,8.21,3,8.40,8.40,4,8.82,8.82,5,9.01,9.01
1,10.96,18.94,2,10.92,19.13,3,10.85,19.25,4,10.68,19.50,5,10.65,19.66
1,10.25,29.19,2,10.19,29.32,3,10.16,29.41,4,10.10,29.60,5,10.11,29.77
1,10.20,39.39,2,10.22,39.54,3,10.22,39.63,4,10.08,39.68,5,10.08,39.85
1,10.17,49.56,2,10.16,49.70,3,10.16,49.79,4,10.16,49.84,5,10.18,50.03
1,10.10,59.66,2,10.07,59.77,4,10.06,59.85,3,9.99,59.83,5,10.05,1:00.08
1,10.03,1:09.69,3,10.16,1:09.93,4,10.18,1:10.03,2,9.90,1:09.73,5,10.04,1:10.12
1,10.07,1:19.76,3,10.09,1:20.02,4,10.06,1:20.09,2,10.07,1:19.80,5,10.10,1:20.22
1,10.05,1:29.81,3,10.02,1:30.04,4,10.03,1:30.12,2,10.12,1:29.92,5,10.02,1:30.24
2,9.92,1:39.73,4,10.01,1:40.05,3,9.83,1:39.95,1,9.60,1:39.52,5,9.82,1:40.06
2,9.63,1:49.36,5,9.91,1:49.96,3,9.49,1:49.44,1,9.56,1:49.08,4,9.42,1:49.48
3,9.74,1:59.10,5,10.11,2:00.07,4,9.76,1:59.20,1,9.49,1:58.57,2,9.21,1:58.69
4,10.19,2:09.29,5,10.59,2:10.66,3,9.87,2:09.07,2,9.62,2:08.19,1,9.22,2:07.91
4,10.76,2:20.042,5,10.91,2:21.567,3,10.16,2:19.230,2,9.90,2:18.084,1,9.69,2:17.593
