Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
1,7.0330,7.0330,5,7.8470,7.8470,4,7.3350,7.3350,2,7.0671,7.0671,3,7.1142,7.1142
1,9.4150,16.4480,3,8.7116,16.5586,5,10.1036,17.4386,2,9.4437,16.5108,4,9.9164,17.0306
3,9.0704,25.5184,4,9.2296,25.7882,5,9.3645,26.8031,2,8.9614,25.4722,1,8.2012,25.2318
4,9.4265,34.9449,3,8.7460,34.5342,5,9.3417,36.1448,2,8.9712,34.4434,1,9.1035,34.3353
4,9.72,44.664,2,9.17,43.703,5,9.88,46.023,3,9.48,43.915,1,9.01,43.342
