NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,12.41,12.41,2,12.52,12.52,5,12.88,12.88,3,12.65,12.65,4,12.70,12.70
1,9.83,22.24,2,9.80,22.32,5,9.80,22.68,3,9.75,22.40,4,9.79,22.49
1,9.58,31.82,2,9.57,31.89,5,9.63,32.31,3,9.59,31.99,4,9.65,32.14
1,9.38,41.20,2,9.37,41.26,5,9.30,41.61,3,9.38,41.37,4,9.34,41.48
1,9.18,50.38,3,9.28,50.54,5,9.18,50.79,2,9.09,50.46,4,9.18,50.66
2,8.92,59.30,3,8.94,59.48,5,8.87,59.66,1,8.74,59.20,4,8.91,59.57
2,8.65,1:07.95,3,8.83,1:08.31,5,8.84,1:08.50,1,8.67,1:07.87,4,8.82,1:08.39
2,8.81,1:16.76,4,9.04,1:17.35,5,8.91,1:17.41,1,8.78,1:16.65,3,8.84,1:17.23
1,8.87,1:25.627,4,9.35,1:26.697,5,9.66,1:27.066,2,9.05,1:25.692,3,8.97,1:26.199
