Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
1,14.40,14.40,2,14.50,14.50,3,14.67,14.67,4,14.81,14.81
1,12.36,26.76,2,12.36,26.86,3,12.34,27.01,4,12.35,27.16
1,11.60,38.36,2,11.55,38.41,3,11.54,38.55,4,11.65,38.81
1,10.24,48.60,2,10.27,48.68,3,10.25,48.80,4,10.11,48.92
1,10.50,59.10,2,10.46,59.14,3,10.44,59.24,4,10.50,59.42
1,9.84,1:08.94,2,9.81,1:08.95,3,9.88,1:09.12,4,9.76,1:09.18
2,9.76,1:18.70,1,9.65,1:18.60,4,9.72,1:18.84,3,9.53,1:18.71
3,9.69,1:28.39,2,9.65,1:28.25,4,9.58,1:28.42,1,9.34,1:28.05
3,9.48,1:37.869,2,9.56,1:37.810,4,9.49,1:37.906,1,9.22,1:37.267
