KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,ARUN Shreya POSITION,ARUN Shreya LAP TIME,ARUN Shreya ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME
3,14.85,,2,14.75,14.75,5,15.08,15.08,4,14.96,14.96,6,15.15,15.15,1,14.65,14.65
3,11.84,,2,11.81,26.56,5,11.80,26.88,4,11.83,26.79,6,11.83,26.98,1,11.82,26.47
3,11.53,,2,11.53,38.09,5,11.58,38.46,4,11.55,38.34,6,11.59,38.57,1,11.53,38.00
2,11.09,,3,11.30,49.39,5,11.15,49.61,4,11.17,49.51,6,11.16,49.73,1,11.22,49.22
3,10.75,,1,10.48,59.87,5,10.58,1:00.19,2,10.50,1:00.01,6,10.52,1:00.25,4,10.85,1:00.07
2,9.60,,1,9.58,1:09.45,3,9.50,1:09.69,4,9.97,1:09.98,6,9.88,1:10.13,5,9.98,1:10.05
3,9.36,,1,9.38,1:18.83,2,9.15,1:18.84,4,9.25,1:19.23,6,9.78,1:19.91,5,9.85,1:19.90
3,9.40,,2,9.49,1:28.32,1,9.32,1:28.16,4,9.30,1:28.53,5,10.26,1:30.17,6,10.46,1:30.36
4,10.08,,3,10.09,1:38.417,1,9.58,1:37.748,2,9.52,1:38.057,4,10.40,1:40.579,5,10.31,1:40.673
