AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
5,13.403,13.403,4,11.303,11.303,2,11.066,11.066,3,11.070,11.070,1,11.017,11.017
5,11.937,25.340,4,14.001,25.303,2,13.977,25.043,3,14.013,25.083,1,13.826,24.842
3,12.843,38.182,5,13.165,38.467,4,13.157,38.200,2,12.935,38.018,1,13.156,37.998
5,13.499,51.681,4,13.154,51.621,3,13.117,51.317,1,13.124,51.141,2,13.302,51.299
4,12.847,1:04.527,5,13.011,1:04.631,3,13.040,1:04.357,2,13.124,1:04.265,1,12.961,1:04.260
3,12.832,1:17.359,5,12.935,1:17.566,4,13.013,1:17.370,2,12.983,1:17.248,1,12.946,1:17.205
2,11.157,1:28.516,5,11.288,1:28.853,1,10.851,1:28.220,4,11.383,1:28.630,3,11.317,1:28.521
2,10.102,1:38.618,5,10.192,1:39.044,3,10.434,1:38.653,4,10.246,1:38.876,1,9.983,1:38.504
1,9.677,1:48.295,5,10.046,1:49.090,2,9.826,1:48.479,4,9.847,1:48.722,3,10.156,1:48.660
1,9.683,1:57.977,5,10.427,1:59.516,2,9.693,1:58.171,4,9.643,1:58.365,3,9.587,1:58.246
1,9.842,2:07.818,5,10.368,2:09.884,2,9.726,2:07.897,4,9.795,2:08.159,3,9.872,2:08.118
1,9.208,2:17.026,5,10.657,2:20.540,2,9.209,2:17.106,4,9.298,2:17.457,3,9.215,2:17.333
1,9.117,2:26.143,5,11.257,2:31.797,2,9.111,2:26.216,4,9.163,2:26.620,3,9.029,2:26.361
1,9.39,2:35.530,5,11.52,2:43.311,2,9.42,2:35.635,4,9.57,2:36.189,3,9.45,2:35.805
