EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
2,12.68,12.68,3,12.82,12.82,1,12.57,12.57,4,12.98,,5,13.11,13.11
2,9.69,22.37,3,9.62,22.44,1,9.73,22.30,4,9.58,,5,9.48,22.59
3,9.35,31.72,5,9.54,31.98,1,9.31,31.61,4,9.34,,2,9.07,31.66
3,9.28,41.00,5,9.24,41.22,2,9.32,40.93,4,9.21,,1,9.18,40.84
3,9.70,50.70,5,9.64,50.86,2,9.66,50.59,4,9.61,,1,9.69,50.53
5,9.77,1:00.47,4,9.60,1:00.46,2,9.71,1:00.30,3,9.65,,1,9.66,1:00.19
5,9.74,1:10.21,4,9.61,1:10.07,3,9.62,1:09.92,2,9.54,,1,9.61,1:09.80
4,9.54,1:19.75,2,9.56,1:19.63,3,9.75,1:19.67,5,14.66,,1,9.61,1:19.41
4,9.76,1:29.512,2,9.61,1:29.24,3,9.80,1:29.47,5,24.63,,1,9.74,1:29.15
