Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
4,8.470,8.470,2,8.110,8.110,1,7.720,7.720,3,8.140,8.140,0,,
5,10.840,19.310,3,10.850,18.970,2,11.180,18.910,4,11.010,19.160,1,0.000,18.730
5,10.980,30.300,4,11.150,30.120,2,10.880,29.800,3,10.730,29.900,1,10.800,29.530
5,10.830,41.140,2,10.730,40.860,4,11.080,40.890,3,10.970,40.870,1,11.040,40.570
5,10.820,51.960,2,10.990,51.860,4,10.980,51.870,3,10.990,51.860,1,11.020,51.590
5,10.910,1:02.870,3,10.790,1:02.650,2,10.610,1:02.490,4,10.810,1:02.680,1,10.640,1:02.240
5,9.600,1:12.480,3,9.610,1:12.260,4,9.800,1:12.290,2,9.490,1:12.180,1,9.840,1:12.090
5,9.370,1:21.850,3,9.330,1:21.600,4,9.410,1:21.710,1,9.090,1:21.270,2,9.290,1:21.380
5,9.560,1:31.410,3,9.550,1:31.150,4,9.480,1:31.200,2,9.670,1:30.950,1,9.410,1:30.790
5,9.440,1:40.860,3,9.410,1:40.570,4,9.480,1:40.680,1,9.370,1:40.320,2,9.550,1:40.350
5,9.220,1:50.080,3,9.120,1:49.690,4,9.140,1:49.820,2,9.210,1:49.540,1,8.990,1:49.350
5,9.200,1:59.290,3,9.220,1:58.910,4,9.230,1:59.050,2,9.180,1:58.730,1,9.340,1:58.690
4,9.150,2:08.440,2,9.170,2:08.090,5,9.460,2:08.520,3,9.390,2:08.120,1,9.190,2:07.890
4,9.000,2:17.440,3,9.210,2:17.300,5,9.950,2:18.470,2,9.070,2:17.200,1,9.180,2:17.080
