Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME
3,7.263,7.263,4,7.289,7.289,2,6.998,6.998,1,6.898,6.898,5,7.429,7.429
5,9.631,16.893,3,9.104,16.392,2,9.257,16.255,1,9.298,16.195,4,9.319,16.747
5,19.612,36.505,4,9.427,25.819,2,9.203,25.458,1,9.185,25.380,3,8.941,25.687
5,15.429,51.934,4,9.375,35.193,1,9.326,34.783,2,9.500,34.880,3,9.242,34.929
5,17.99,1:09.923,4,9.57,44.762,1,9.63,44.408,3,9.74,44.620,2,9.61,44.538
