SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Mathieu BERNIER POSITION,Mathieu BERNIER LAP TIME,Mathieu BERNIER ELAPSED TIME,JONG Kwang Bom POSITION,JONG Kwang Bom LAP TIME,JONG Kwang Bom ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
4,14.75,,2,14.55,14.55,3,14.58,14.58,1,14.49,14.49,5,14.88,14.88
4,11.64,,2,11.61,26.16,3,11.67,26.25,1,11.49,25.98,5,11.60,26.48
4,11.19,,3,11.33,37.49,2,11.16,37.41,1,11.36,37.34,5,11.26,37.74
2,9.62,,4,9.97,47.46,1,9.78,47.19,3,10.02,47.36,5,9.83,47.57
2,8.95,,4,9.03,56.49,1,8.95,56.14,3,8.99,56.35,5,8.98,56.55
2,8.85,,4,8.74,1:05.23,1,8.79,1:04.93,3,8.71,1:05.06,4,8.68,1:05.23
5,9.20,,4,8.95,1:14.18,1,8.91,1:13.84,2,8.94,1:14.00,3,8.85,1:14.08
4,9.17,,5,9.40,1:23.58,1,9.22,1:23.06,3,9.27,1:23.27,2,9.18,1:23.26
3,9.39,,4,9.55,1:33.137,1,9.40,1:32.46,3,9.59,1:32.863,2,9.41,1:32.67
