Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
3,7.257,7.257,1,7.000,7.000,2,7.062,7.062,4,7.305,7.305
4,9.501,16.757,2,9.539,16.539,1,9.381,16.443,3,9.358,16.662
4,8.950,25.706,2,8.919,25.458,1,8.911,25.353,3,8.921,25.583
4,9.423,35.129,1,8.892,34.349,2,9.092,34.445,3,9.007,34.589
4,9.83,44.952,1,9.31,43.656,3,9.34,43.783,2,9.12,43.704
