VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
1,7.57,7.57,3,7.77,7.77,4,7.98,7.98,2,7.75,7.75
1,9.88,17.45,2,9.79,17.56,4,10.05,18.03,3,9.89,17.64
1,9.45,26.90,2,9.36,26.92,4,10.05,28.08,3,9.35,26.99
2,9.62,36.52,3,9.70,36.62,4,10.24,38.32,1,9.25,36.24
2,9.92,46.437,3,9.91,46.522,4,10.63,48.946,1,9.35,45.587
