LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,7.39,7.39,1,7.06,7.06,3,7.43,7.43,4,7.86,7.86
3,9.51,16.90,1,9.07,16.13,2,9.44,16.87,4,9.28,17.14
3,9.08,25.98,1,8.68,24.81,2,8.95,25.82,4,8.93,26.07
4,9.48,35.46,1,8.72,33.53,2,8.94,34.76,3,8.83,34.90
4,9.36,44.817,1,9.00,42.524,2,9.22,43.978,3,9.15,44.047
